,count,mean,std,min,25%,50%,75%,max,,,,,count,mean,std,min,25%,50%,75%,max,,,count,mean,std,min,25%,50%,75%,max
java,78,83.88461538,3.967336668,77,82,83,85,93,,,,java,78,83.88461538,3.967336668,77,82,83,85,93,,java,78,83.88461538,3.967336668,77,82,83,85,93
js,78,73.17948718,6.334288446,63,67,74,79,83,,,,js,78,73.17948718,6.334288446,63,67,74,79,83,,js,78,73.17948718,6.334288446,63,67,74,79,83
php,78,69.6025641,9.32019138,56,60,70,79,81,,,,php,78,69.6025641,9.32019138,56,60,70,79,81,,php,78,69.6025641,9.32019138,56,60,70,79,81
frontend,33,65.63636364,2.459905763,62,64,65,68,69,,,,frontend,33,65.63636364,2.459905763,62,64,65,68,69,,frontend,33,65.63636364,2.459905763,62,64,65,68,69
.net,78,43.70512821,3.556990463,38,40,45,46.75,49,,,,.net,78,43.70512821,3.556990463,38,40,45,46.75,49,,.net,78,43.70512821,3.556990463,38,40,45,46.75,49
android,78,39.75641026,2.523581754,33,38,41,41,43,,,,android,78,39.75641026,2.523581754,33,38,41,41,43,,android,78,39.75641026,2.523581754,33,38,41,41,43
ios,78,30.97435897,2.06375247,27,29,30,33,34,,,,ios,78,30.97435897,2.06375247,27,29,30,33,34,,ios,78,30.97435897,2.06375247,27,29,30,33,34
qa,78,21.88461538,0.557842999,20,22,22,22,23,,,,qa,78,21.88461538,0.557842999,20,22,22,22,23,,qa,78,21.88461538,0.557842999,20,22,22,22,23
python,78,17.56410256,2.213240813,13,16,17,20,22,,,,python,78,17.56410256,2.213240813,13,16,17,20,22,,python,78,17.56410256,2.213240813,13,16,17,20,22
linux,78,14.70512821,1.773608651,11,13.25,15,16,18,,,,linux,78,14.70512821,1.773608651,11,13.25,15,16,18,,linux,78,14.70512821,1.773608651,11,13.25,15,16,18
c,78,12.26923077,4.145637911,6,7.5,15,16,17,,,,c,78,12.26923077,4.145637911,6,7.5,15,16,17,,c,78,12.26923077,4.145637911,6,7.5,15,16,17
ruby,78,11.73076923,1.124382392,9,11,12,13,13,,,,ruby,78,11.73076923,1.124382392,9,11,12,13,13,,ruby,78,11.73076923,1.124382392,9,11,12,13,13
game-dev,78,10.56410256,0.499083409,10,10,11,11,11,,,,game-dev,78,10.56410256,0.499083409,10,10,11,11,11,,game-dev,78,10.56410256,0.499083409,10,10,11,11,11
